B16383	1934969.967	5603163.113	2
v16383	1934969.967	5603163.113	1
B25	1920652.072	5611948.74	1
B58	1922456.704	5611904.331	1
B74	1933602.59	5603417.977	2
B199	1920573.939	5605912.372	1
B238	1921698.888	5606059.858	1
B283	1921928.586	5600845.328	1
B295	1922831.628	5603557.988	1
B396	1921708.225	5601457.803	1
B397	1922548.032	5601210.827	1
B464	1934476.158	5617392.765	1
B584	1923824.004	5611717.635	1
B605	1921570.936	5602067.298	1
B627	1936447.029	5608156.373	1
B705	1930388.427	5607409.803	1
B777	1933961.665	5620167.301	2
B829	1924708.09	5600687.975	1
B860	1934538.774	5615772.198	1
B896	1920882.906	5606910.35	1
B903	1937623.834	5605846.46	1
B938	1938188.789	5608003.748	1
B990	1926554.22	5602675.288	1
B1001	1926662.338	5612541.369	1
B1015	1916118.379	5604934.111	1
B1025	1931649.88	5602892.935	1
B1093	1928165.231	5611026.472	1
B1129	1935129.207	5602830.838	1
B1203	1930955.024	5599805.866	1
B1267	1931409.055	5601356.431	1
B1276	1929438.194	5601457.986	1
B1297	1926572.442	5598076.134	1
B1412	1934549.551	5616459.876	1
B1417	1934508.326	5614020.475	1
B1450	1934176.588	5612200.591	1
B1459	1932239.154	5603942.089	1
B1472	1936531.9	5605343.656	1
B1490	1928870.713	5611583.23	1
B1501	1924442.122	5599662.987	1
B1659	1921222.878	5604682.493	1
B1660	1926652.333	5615473.089	1
B1674	1928676.52	5608418.209	1
B1679	1935691.366	5607890.885	1
B1695	1924331.441	5611792.878	1
B1700	1935757.368	5617548.383	1
B1703	1923397.306	5612646.33	1
B1799	1935927.419	5608502.552	1
B1843	1922669.727	5606141.236	1
B2099	1940120.086	5606662.983	1
B2130	1916791.734	5605650.939	1
B2147	1926185.693	5595704.898	1
B2150	1921135.222	5603235.194	1
B2260	1922675.741	5598967.888	1
B2304	1935296.925	5604509.498	1
B2411	1923285.03	5599915.892	1
B2412	1922907.04	5598611.637	1
B2433	1934285.127	5616940.252	1
B2588	1922908.058	5602271.87	1
B2758	1922388.13	5600328.004	1
B2761	1921229.566	5608969.286	1
B2801	1920544.499	5610382.309	1
B2838	1929334.254	5611256.078	1
B2872	1924805.786	5602143.305	1
B2887	1923242.732	5610942.733	1
B2894	1925334.385	5601686.046	1
B2908	1935140.572	5618082.686	1
B2950	1921881.935	5603041.247	1
B2955	1928471.494	5600719.042	1
B2989	1937728.407	5607744.354	1
B3052	1927262.977	5618082.756	1
B3147	1919397.891	5605970.049	1
B3164	1927240.674	5618855.474	1
B3173	1911932.96	5604614.504	1
B3184	1921674.734	5606495.236	1
B3197	1918166.08	5605117.918	1
B3201	1924458.938	5604062.926	1
B3336	1928378.564	5603870.91	1
B3358	1936723.96	5615686.882	1
B3406	1908216.825	5610858.374	1
B3411	1923068.927	5621130.962	1
B3453	1908916.964	5606243.848	1
B3525	1927031.76	5598450.594	1
B3541	1924414.348	5620674.075	1
B3697	1928378.564	5603870.91	2
B3698	1924123.299	5605228.871	1
B3749	1938568.968	5608692.543	1
B3779	1935833.314	5620725.566	1
B3849	1928144.816	5615230.402	1
B4333	1903850.283	5613618.011	1
B4393	1902588.236	5613731.625	1
B4473	1917953.601	5609227.411	1
B4525	1906961.99	5607421.151	1
B4559	1898705.251	5613607.045	1
B4639	1915312.853	5607605.125	1
B4784	1936982.549	5604571.032	1
B4875	1917214.018	5605905.293	1
B4959	1910633.793	5610932.302	1
B5023	1904773.172	5613220.038	1
B5056	1913273.516	5606396.426	1
B5368	1910130.273	5605258.447	1
B5593	1925148.211	5611726.097	1
B5826	1900696.012	5613037.362	1
B5988	1924136.017	5602753.657	2
B7822	1922103.391	5611889.194	1
B7857	1925934.55	5612885.435	1
B7879	1922299.729	5605028.131	1
B7980	1924609.153	5610389.694	1
B8517	1922244.208	5606601.512	1
B9018	1924090.944	5599146.432	1
B9068	1931401.909	5615241.575	1
B10212	1932192.036	5617088.639	1
B10297	1922099.237	5602651.968	1
B10356	1921056.903	5607415.853	1
B10619	1934094.05	5603453.148	1
B10692	1935291.008	5604180.179	1
B10773	1933797.151	5605716.225	1
B15001	1935268.433	5612896.633	2
B15003	1935268.433	5612896.633	1
B15004	1919829.642	5604729.102	1
B15005	1920277.65	5609194.167	1
B15006	1926346.133	5609157.141	1
B15010	1924123.299	5605228.871	1
B15011	1924123.299	5605228.871	2
B15012	1928378.564	5603870.91	2
B15019	1928378.564	5603870.91	2
B15022	1935268.433	5612896.633	1
B15383	1931937.963	5603595.677	1
B15422	1930611.253	5608696.083	1
B15464	1924136.017	5602753.657	2
B15592	1920860.488	5604922.592	1
B15684	1927203.71	5618663.279	1
B15794	1924710.112	5619382.994	1
B16009	1923760.291	5604133.78	1
