15794	1924710.112	5619382.994	2
15795	1923397.876	5613908.478	1
15796	1923397.876	5613906.476	2
15884	1924708.111	5619380.991	1
3779	1935833.314	5620725.566	1
15464	1924136.017	5602753.657	1
913	1931940.933	5613729.312	1
1053	1932151.191	5610422.214	1
1596	1923696.044	5601227.170	1
4384	1902443.117	5613742.578	1
995	1929291.727	5602708.100	1
3453	1908916.964	5606243.848	1
5023	1904773.172	5613220.038	1
10496	1935135.169	5603000.002	1
1129	1935129.207	5602830.838	1
1703	1923397.306	5612646.330	1
605	1921570.936	5602067.298	1
10773	1933797.151	5605716.225	1
3525	1927031.760	5598450.594	1
9068	1931401.909	5615241.575	1
15422	1930611.253	5608696.083	1
3698	1924123.299	5605228.871	1
15011	1924123.299	5605228.871	2
3697	1928378.564	5603870.910	1
15001	1935268.433	5612896.633	2
15022	1935268.433	5612896.633	1
1695	1924331.441	5611792.878	1
705	1930388.427	5607409.803	1
10212	1932192.036	5617088.639	1
990	1926554.220	5602675.288	1
1001	1926662.338	5612541.369	1
1450	1934176.588	5612200.591	1
1501	1924442.122	5599662.987	1
1674	1928676.520	5608418.209	1
7980	1924609.153	5610389.694	1
10356	1921056.903	5607415.853	1
15004	1919829.642	5604729.102	1
15006	1926346.133	5609157.141	1
222	1936827.104	5615560.793	1
15005	1920277.650	5609194.167	1
3749	1938568.968	5608692.543	1
3737	1924484.225	5606576.196	1
10371	1922468.482	5609566.232	1
